debug: 2026/01/09 21:21:42 Focused: {name: debug, enabled: false, focused: true}
debug: 2026/01/09 21:21:42 Focused: {name: commands, enabled: true, focused: true}
debug: 2026/01/09 21:21:43 Focused: {name: progress, enabled: true, focused: true}
debug: 2026/01/09 21:21:43 Focused: {name: progress, enabled: true, focused: true}
debug: 2026/01/09 21:21:43 Focused: {name: commands, enabled: true, focused: true}
debug: 2026/01/09 21:21:43 Focused: {name: debug, enabled: false, focused: true}
debug: 2026/01/09 21:21:44 Focused: {name: debug, enabled: false, focused: true}
debug: 2026/01/09 21:24:10 Focused: {name: debug, enabled: false, focused: true}
debug: 2026/01/09 21:24:10 Focused: {name: debug, enabled: false, focused: true}
debug: 2026/01/09 21:24:10 Focused: {name: commands, enabled: true, focused: true}
debug: 2026/01/09 21:24:10 Focused: {name: progress, enabled: true, focused: true}
debug: 2026/01/09 21:24:11 Focused: {name: commands, enabled: true, focused: true}
debug: 2026/01/09 21:24:11 Focused: {name: progress, enabled: true, focused: true}
debug: 2026/01/09 21:24:11 Focused: {name: commands, enabled: true, focused: true}
debug: 2026/01/09 21:24:11 Focused: {name: progress, enabled: true, focused: true}
debug: 2026/01/09 21:24:12 Focused: {name: commands, enabled: true, focused: true}
debug: 2026/01/09 21:24:12 Focused: {name: progress, enabled: true, focused: true}
2026/01/09 21:24:25 Focused: {name: debug, enabled: false, focused: true}
2026/01/09 21:24:25 Focused: {name: commands, enabled: true, focused: true}
2026/01/09 21:24:25 Focused: {name: debug, enabled: false, focused: true}
2026/01/09 21:24:26 Focused: {name: commands, enabled: true, focused: true}
2026/01/09 21:24:27 Focused: {name: debug, enabled: false, focused: true}
2026/01/09 21:24:27 Focused: {name: commands, enabled: true, focused: true}
2026/01/09 21:24:27 Focused: {name: debug, enabled: false, focused: true}
2026/01/09 21:24:27 Focused: {name: commands, enabled: true, focused: true}
2026/01/09 21:24:29 Focused: {name: progress, enabled: true, focused: true}
2026/01/09 21:24:30 Focused: {name: progress, enabled: true, focused: true}
2026/01/09 21:24:30 Focused: {name: commands, enabled: true, focused: true}
2026/01/09 21:24:30 Focused: {name: progress, enabled: true, focused: true}
2026/01/09 21:24:31 Focused: {name: progress, enabled: true, focused: true}
